company,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
ATEN,0.3714788732394366,0.1619718309859155,0.09683098591549295,0.11091549295774648,0.04401408450704225,0.03345070422535211,0.01232394366197183,0.0035211267605633804,0.007042253521126761,0.0035211267605633804,0.07922535211267606,0.007042253521126761,0.00528169014084507,0.0,0.0035211267605633804,0.0017605633802816902,0.007042253521126761,0.0,0.0,0.007042253521126761,0.008802816901408451,0.008802816901408451,0.0035211267605633804,0.0017605633802816902,0.0035211267605633804,0.0,0.0,0.0,0.00528169014084507,0.01232394366197183,0.08962264150943396,0.15053763440860216,0.14285714285714285,0.03125,0.038461538461538464,0.25,0.0,-0.3333333333333333,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
ACIA,0.33387888707037644,0.2193126022913257,0.16366612111292964,0.07692307692307693,0.02127659574468085,0.016366612111292964,0.008183306055646482,0.01309328968903437,0.009819967266775777,0.01309328968903437,0.0,0.0016366612111292963,0.004909983633387889,0.009819967266775777,0.0016366612111292963,0.004909983633387889,0.0032733224222585926,0.0,0.0032733224222585926,0.004909983633387889,0.009819967266775777,0.006546644844517185,0.0,0.03436988543371522,0.0,0.016366612111292964,0.014729950900163666,0.0,0.004909983633387889,0.0032733224222585926,0.23902439024390243,0.21481481481481482,0.31683168316831684,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.14285714285714285,-0.4,0.0,0.09090909090909091,0.0,0.0,0.9,0.0,0.0,0.0
ACLLY,0.24096385542168675,0.21686746987951808,0.1566265060240964,0.1566265060240964,0.04819277108433735,0.024096385542168676,0.0,0.0,0.03614457831325301,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.012048192771084338,0.07228915662650602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.21052631578947367,0.5,0.6428571428571429,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACMR,0.4407158836689038,0.21923937360178972,0.09172259507829977,0.040268456375838924,0.03131991051454139,0.042505592841163314,0.0044742729306487695,0.0022371364653243847,0.0022371364653243847,0.0044742729306487695,0.0,0.0,0.015659955257270694,0.0,0.0,0.0044742729306487695,0.0022371364653243847,0.0,0.0022371364653243847,0.013422818791946308,0.011185682326621925,0.0022371364653243847,0.0,0.011185682326621925,0.0022371364653243847,0.0022371364653243847,0.026845637583892617,0.0,0.02237136465324385,0.0044742729306487695,0.29292929292929293,0.5151515151515151,0.23809523809523808,0.21052631578947367,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0
ACTV.2,0.376953125,0.203125,0.1015625,0.0859375,0.056640625,0.02734375,0.0078125,0.0234375,0.0,0.0078125,0.005859375,0.0,0.0,0.005859375,0.0,0.0,0.05859375,0.001953125,0.0,0.013671875,0.001953125,0.00390625,0.0,0.00390625,0.0,0.0078125,0.0,0.0,0.00390625,0.001953125,0.030927835051546393,0.009523809523809525,0.20754716981132076,-0.022222222222222223,0.06666666666666667,-0.13333333333333333,0.0,0.15384615384615385,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IOTS,0.22784810126582278,0.25316455696202533,0.16772151898734178,0.0981012658227848,0.0759493670886076,0.03164556962025317,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.006329113924050633,0.0,0.006329113924050633,0.0031645569620253164,0.0,0.0,0.012658227848101266,0.0,0.0031645569620253164,0.0031645569620253164,0.006329113924050633,0.0,0.0031645569620253164,0.0,0.0031645569620253164,0.006329113924050633,0.0,0.0,0.0031645569620253164,0.012658227848101266,0.1506849315068493,0.14814814814814814,0.3148148148148148,0.3125,0.28,0.18181818181818182,0.23076923076923078,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARX,0.48735408560311283,0.07295719844357977,0.04377431906614786,0.033073929961089495,0.03988326848249027,0.033073929961089495,0.0029182879377431907,0.017509727626459144,0.0029182879377431907,0.008754863813229572,0.0,0.008754863813229572,0.009727626459143969,0.005836575875486381,0.02237354085603113,0.0029182879377431907,0.04669260700389105,0.024319066147859923,0.0029182879377431907,0.030155642023346304,0.013618677042801557,0.0019455252918287938,0.0009727626459143969,0.0048638132295719845,0.01264591439688716,0.0019455252918287938,0.0009727626459143969,0.04474708171206226,0.016536964980544747,0.005836575875486381,-0.00199203187250996,-0.013157894736842105,0.021739130434782608,-0.05714285714285714,0.0,-0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIRG,0.27491408934707906,0.22336769759450173,0.10309278350515463,0.140893470790378,0.06872852233676977,0.03436426116838488,0.010309278350515464,0.027491408934707903,0.027491408934707903,0.01718213058419244,0.003436426116838488,0.0,0.0,0.003436426116838488,0.0,0.0,0.003436426116838488,0.003436426116838488,0.0,0.010309278350515464,0.006872852233676976,0.0,0.0,0.003436426116838488,0.010309278350515464,0.0,0.006872852233676976,0.003436426116838488,0.013745704467353952,0.003436426116838488,0.07407407407407407,0.21212121212121213,0.0967741935483871,0.11904761904761904,0.3333333333333333,0.36363636363636365,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
AKTS,0.2909090909090909,0.15584415584415584,0.15454545454545454,0.09610389610389611,0.048051948051948054,0.03766233766233766,0.003896103896103896,0.0025974025974025974,0.011688311688311689,0.007792207792207792,0.014285714285714285,0.014285714285714285,0.0,0.0025974025974025974,0.003896103896103896,0.003896103896103896,0.024675324675324677,0.003896103896103896,0.0,0.025974025974025976,0.007792207792207792,0.005194805194805195,0.0025974025974025974,0.0012987012987012987,0.015584415584415584,0.003896103896103896,0.003896103896103896,0.03506493506493506,0.02077922077922078,0.0012987012987012987,0.04888888888888889,0.15702479338842976,-0.08333333333333333,0.09333333333333334,-0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
ALTR,0.30714285714285716,0.1738095238095238,0.1357142857142857,0.125,0.02976190476190476,0.023809523809523808,0.005952380952380952,0.009523809523809525,0.008333333333333333,0.002380952380952381,0.014285714285714285,0.0011904761904761906,0.010714285714285714,0.0011904761904761906,0.005952380952380952,0.007142857142857143,0.010714285714285714,0.02857142857142857,0.004761904761904762,0.02976190476190476,0.004761904761904762,0.0,0.004761904761904762,0.007142857142857143,0.005952380952380952,0.014285714285714285,0.0035714285714285713,0.002380952380952381,0.008333333333333333,0.013095238095238096,0.2972972972972973,0.3673469387755102,0.26956521739130435,0.0660377358490566,0.6153846153846154,0.23809523809523808,0.5,0.0,0.25,0.0,0.0,-0.5,0.2,0.0,0.16666666666666666,0.42857142857142855,0.0,-0.04,0.0,0.038461538461538464,0.0,0.0,0.4,0.14285714285714285,0.0,-0.07692307692307693,0.5,0.0,0.125,0.08333333333333333
