No.,datadate,prccd,ajexdi,conm,tic,ipo_date,price,quarter,date_diff,Identifier,Trading Volume - Monthly,Net Asset Value - Monthly,Monthly Total Return Factor,Stock Exchange Code,S&P Rating
0,12/13/2019,16.6,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.6,2019Q4,0,SPTDec-19,7988794,0,1,14,
1,12/16/2019,16.75,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.75, ,3,SPTDec-19,7988794,0,1,14,
2,12/17/2019,16.78,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.78,2019Q4,4,SPTDec-19,7988794,0,1,14,
3,12/18/2019,16.56,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.56,2019Q4,5,SPTDec-19,7988794,0,1,14,
4,12/19/2019,16.02,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.02,2019Q4,6,SPTDec-19,7988794,0,1,14,
5,12/20/2019,16,m,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,7,SPTDec-19,7988794,0,1,14,
6,12/23/2019,15.98,1,SPROUT SOCIAL INC,SPT,12/13/2019,15.98,2019Q4,10,SPTDec-19,7988794,0,1,14,
7,12/24/2019,16,1,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,11,SPTDec-19,7988794,0,1,14,
8,12/26/2019,16,1,SPROUT SOCIAL INC,SPT,12/13/2019,16,2019Q4,13,SPTDec-19,7988794,0,1,14,
9,12/27/2019,16.12,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.12,2019Q4,14,SPTDec-19,7988794,0,1,14,
10,12/30/2019,16.01,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.01,2019Q4,17,SPTDec-19,7988794,0,1,14,
11,12/31/2019,16.05,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.05,2019Q4,18,SPTDec-19,7988794,0,1,14,
12,1/2/2020,16.55,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.55,2019Q4,20,SPTDec-19,7988794,0,1,14,
13,1/3/2020,16.58,1,SPROUT SOCIAL INC,SPT,12/13/2019,16.58,2019Q4,21,SPTDec-19,7988794,0,1,14,
14,1/6/2020,17.3,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.3,2019Q4,24,SPTDec-19,7988794,0,1,14,
15,1/7/2020,17.78,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.78,2019Q4,25,SPTDec-19,7988794,0,1,14,
16,1/8/2020,17.44,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.44,2019Q4,26,SPTDec-19,7988794,0,1,14,
17,1/9/2020,17.7,1,SPROUT SOCIAL INC,SPT,12/13/2019,17.7,2019Q4,27,SPTDec-19,7988794,0,1,14,
18,1/10/2020,18.13,1,SPROUT SOCIAL INC,SPT,12/13/2019,18.13,2019Q4,28,SPTDec-19,7988794,0,1,14,
19,1/13/2020,18.52,1,SPROUT SOCIAL INC,SPT,12/13/2019,18.52,2019Q4,31,SPTDec-19,7988794,0,1,14,
20,12/13/2019,10,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10,2019Q4,0,OCFTDec-19,11365489,0,1,11,
21,12/16/2019,9.75,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.75,2019Q4,3,OCFTDec-19,11365489,0,1,11,
22,12/17/2019,9.84,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.84,2019Q4,4,OCFTDec-19,11365489,0,1,11,
23,12/18/2019,9.87,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.87,2019Q4,5,OCFTDec-19,11365489,0,1,11,
24,12/19/2019,9.88,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.88,2019Q4,6,OCFTDec-19,11365489,0,1,11,
25,12/20/2019,9.85,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.85,2019Q4,7,OCFTDec-19,11365489,0,1,11,
26,12/23/2019,9.9,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.9,2019Q4,10,OCFTDec-19,11365489,0,1,11,
27,12/24/2019,9.85,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,9.85,2019Q4,11,OCFTDec-19,11365489,0,1,11,
28,12/26/2019,10.01,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.01,2019Q4,13,OCFTDec-19,11365489,0,1,11,
29,12/27/2019,10.06,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.06,2019Q4,14,OCFTDec-19,11365489,0,1,11,
30,12/30/2019,10.05,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.05,2019Q4,17,OCFTDec-19,11365489,0,1,11,
31,12/31/2019,10.03,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.03,2019Q4,18,OCFTDec-19,11365489,0,1,11,
32,1/2/2020,10.27,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.27,2019Q4,20,OCFTDec-19,11365489,0,1,11,
33,1/3/2020,10.4,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.4,2019Q4,21,OCFTDec-19,11365489,0,1,11,
34,1/6/2020,10.86,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,10.86,2019Q4,24,OCFTDec-19,11365489,0,1,11,
35,1/7/2020,11.96,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,11.96,2019Q4,25,OCFTDec-19,11365489,0,1,11,
36,1/8/2020,12.56,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,12.56,2019Q4,26,OCFTDec-19,11365489,0,1,11,
37,1/9/2020,13.54,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,13.54,2019Q4,27,OCFTDec-19,11365489,0,1,11,
38,1/10/2020,15.82,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,15.82,2019Q4,28,OCFTDec-19,11365489,0,1,11,
39,1/13/2020,15.68,1,ONECONNECT FINANCIAL,OCFT,12/13/2019,15.68,2019Q4,31,OCFTDec-19,11365489,0,1,11,
40,12/12/2019,35.5,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,35.5,2019Q4,0,BILLDec-19,17699163,0,1,11,
41,12/13/2019,38.98,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.98,2019Q4,1,BILLDec-19,17699163,0,1,11,
42,12/16/2019,36.38,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,36.38,2019Q4,4,BILLDec-19,17699163,0,1,11,
43,12/17/2019,37,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,37,2019Q4,5,BILLDec-19,17699163,0,1,11,
44,12/18/2019,38.04,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.04,2019Q4,6,BILLDec-19,17699163,0,1,11,
45,12/19/2019,38.2,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.2,2019Q4,7,BILLDec-19,17699163,0,1,11,
46,12/20/2019,38.14,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.14,2019Q4,8,BILLDec-19,17699163,0,1,11,
47,12/23/2019,38.76,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.76,2019Q4,11,BILLDec-19,17699163,0,1,11,
48,12/24/2019,40.05,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,40.05,2019Q4,12,BILLDec-19,17699163,0,1,11,
49,12/26/2019,39,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,39,2019Q4,14,BILLDec-19,17699163,0,1,11,
50,12/27/2019,38.58,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.58,2019Q4,15,BILLDec-19,17699163,0,1,11,
51,12/30/2019,36.93,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,36.93,2019Q4,18,BILLDec-19,17699163,0,1,11,
52,12/31/2019,38.05,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.05,2019Q4,19,BILLDec-19,17699163,0,1,11,
53,1/2/2020,38.7,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.7,2019Q4,21,BILLDec-19,17699163,0,1,11,
54,1/3/2020,38.01,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.01,2019Q4,22,BILLDec-19,17699163,0,1,11,
55,1/6/2020,37.51,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,37.51,2019Q4,25,BILLDec-19,17699163,0,1,11,
56,1/7/2020,36.52,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,36.52,2019Q4,26,BILLDec-19,17699163,0,1,11,
57,1/8/2020,37.89,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,37.89,2019Q4,27,BILLDec-19,17699163,0,1,11,
58,1/9/2020,38.86,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,38.86,2019Q4,28,BILLDec-19,17699163,0,1,11,
59,1/10/2020,39.49,1,BILL.COM HOLDINGS INC,BILL,12/12/2019,39.49,2019Q4,29,BILLDec-19,17699163,0,1,11,
60,12/4/2019,12.469,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,24.938,2019Q4,0,WKEYDec-19,30820,0,1,14,
61,12/5/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,1,WKEYDec-19,30820,0,1,14,
62,12/6/2019,17.085,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,34.17,2019Q4,2,WKEYDec-19,30820,0,1,14,
63,12/9/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,5,WKEYDec-19,30820,0,1,14,
64,12/10/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,6,WKEYDec-19,30820,0,1,14,
65,12/11/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,7,WKEYDec-19,30820,0,1,14,
66,12/12/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,8,WKEYDec-19,30820,0,1,14,
67,12/13/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,9,WKEYDec-19,30820,0,1,14,
68,12/16/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,12,WKEYDec-19,30820,0,1,14,
69,12/17/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,13,WKEYDec-19,30820,0,1,14,
70,12/18/2019,10.795,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.59,2019Q4,14,WKEYDec-19,30820,0,1,14,
71,12/19/2019,9.18,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,18.36,2019Q4,15,WKEYDec-19,30820,0,1,14,
72,12/20/2019,12.09,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,24.18,2019Q4,16,WKEYDec-19,30820,0,1,14,
73,12/23/2019,9.36,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,18.72,2019Q4,19,WKEYDec-19,30820,0,1,14,
74,12/24/2019,10.85,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,21.7,2019Q4,20,WKEYDec-19,30820,0,1,14,
75,12/26/2019,8.69,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,17.38,2019Q4,22,WKEYDec-19,30820,0,1,14,
76,12/27/2019,12,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,24,2019Q4,23,WKEYDec-19,30820,0,1,14,
77,12/30/2019,11.25,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,22.5,2019Q4,26,WKEYDec-19,30820,0,1,14,
78,12/31/2019,11.74,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,23.48,2019Q4,27,WKEYDec-19,30820,0,1,14,
79,1/2/2020,11.24,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,22.48,2019Q4,29,WKEYDec-19,30820,0,1,14,
80,1/3/2020,11.25,0.5,WISEKEY INTERNATIONAL HOLD,WKEY,12/4/2019,22.5,2019Q4,30,WKEYDec-19,30820,0,1,14,
81,11/21/2019,8.99,1,CANAAN INC,CAN,11/21/2019,8.99,2019Q4,0,CANNov-19,6770068,0,1,14,
82,11/22/2019,8.98,1,CANAAN INC,CAN,11/21/2019,8.98,2019Q4,1,CANNov-19,6770068,0,1,14,
83,11/25/2019,8.29,1,CANAAN INC,CAN,11/21/2019,8.29,2019Q4,4,CANNov-19,6770068,0,1,14,
84,11/26/2019,8.19,1,CANAAN INC,CAN,11/21/2019,8.19,2019Q4,5,CANNov-19,6770068,0,1,14,
85,11/27/2019,8.25,1,CANAAN INC,CAN,11/21/2019,8.25,2019Q4,6,CANNov-19,6770068,0,1,14,
86,11/29/2019,8.25,1,CANAAN INC,CAN,11/21/2019,8.25,2019Q4,8,CANNov-19,6770068,0,1,14,
87,12/2/2019,8.35,1,CANAAN INC,CAN,11/21/2019,8.35,2019Q4,11,CANNov-19,6770068,0,1,14,
88,12/3/2019,8.18,1,CANAAN INC,CAN,11/21/2019,8.18,2019Q4,12,CANNov-19,6770068,0,1,14,
89,12/4/2019,8.07,1,CANAAN INC,CAN,11/21/2019,8.07,2019Q4,13,CANNov-19,6770068,0,1,14,
90,12/5/2019,7.85,1,CANAAN INC,CAN,11/21/2019,7.85,2019Q4,14,CANNov-19,6770068,0,1,14,
91,12/6/2019,7.8,1,CANAAN INC,CAN,11/21/2019,7.8,2019Q4,15,CANNov-19,6770068,0,1,14,
92,12/9/2019,7.25,1,CANAAN INC,CAN,11/21/2019,7.25,2019Q4,18,CANNov-19,6770068,0,1,14,
93,12/10/2019,6.57,1,CANAAN INC,CAN,11/21/2019,6.57,2019Q4,19,CANNov-19,6770068,0,1,14,
94,12/11/2019,6.17,1,CANAAN INC,CAN,11/21/2019,6.17,2019Q4,20,CANNov-19,6770068,0,1,14,
95,12/12/2019,5.71,1,CANAAN INC,CAN,11/21/2019,5.71,2019Q4,21,CANNov-19,6770068,0,1,14,
96,12/13/2019,5.24,1,CANAAN INC,CAN,11/21/2019,5.24,2019Q4,22,CANNov-19,6770068,0,1,14,
97,12/16/2019,4.65,1,CANAAN INC,CAN,11/21/2019,4.65,2019Q4,25,CANNov-19,6770068,0,1,14,
98,12/17/2019,5.19,1,CANAAN INC,CAN,11/21/2019,5.19,2019Q4,26,CANNov-19,6770068,0,1,14,
99,12/18/2019,4.63,1,CANAAN INC,CAN,11/21/2019,4.63,2019Q4,27,CANNov-19,6770068,0,1,14,
100,12/19/2019,4.65,1,CANAAN INC,CAN,11/21/2019,4.65,2019Q4,28,CANNov-19,6770068,0,1,14,
101,12/20/2019,4.77,1,CANAAN INC,CAN,11/21/2019,4.77,2019Q4,29,CANNov-19,6770068,0,1,14,
102,11/21/2019,18.65,1,SITIME CORP,SITM,11/21/2019,18.65,2019Q4,0,SITMNov-19,1499031,0,1,14,
103,11/22/2019,18.05,1,SITIME CORP,SITM,11/21/2019,18.05,2019Q4,1,SITMNov-19,1499031,0,1,14,
104,11/25/2019,17.15,1,SITIME CORP,SITM,11/21/2019,17.15,2019Q4,4,SITMNov-19,1499031,0,1,14,
105,11/26/2019,17.01,1,SITIME CORP,SITM,11/21/2019,17.01,2019Q4,5,SITMNov-19,1499031,0,1,14,
106,11/27/2019,17.49,1,SITIME CORP,SITM,11/21/2019,17.49,2019Q4,6,SITMNov-19,1499031,0,1,14,
107,11/29/2019,17.4,1,SITIME CORP,SITM,11/21/2019,17.4,2019Q4,8,SITMNov-19,1499031,0,1,14,
108,12/2/2019,16.6,1,SITIME CORP,SITM,11/21/2019,16.6,2019Q4,11,SITMNov-19,1499031,0,1,14,
109,12/3/2019,16.74,1,SITIME CORP,SITM,11/21/2019,16.74,2019Q4,12,SITMNov-19,1499031,0,1,14,
110,12/4/2019,16.94,1,SITIME CORP,SITM,11/21/2019,16.94,2019Q4,13,SITMNov-19,1499031,0,1,14,
111,12/5/2019,16.8,1,SITIME CORP,SITM,11/21/2019,16.8,2019Q4,14,SITMNov-19,1499031,0,1,14,
112,12/6/2019,18.03,1,SITIME CORP,SITM,11/21/2019,18.03,2019Q4,15,SITMNov-19,1499031,0,1,14,
113,12/9/2019,20.5,1,SITIME CORP,SITM,11/21/2019,20.5,2019Q4,18,SITMNov-19,1499031,0,1,14,
114,12/10/2019,19.64,1,SITIME CORP,SITM,11/21/2019,19.64,2019Q4,19,SITMNov-19,1499031,0,1,14,
115,12/11/2019,20.34,1,SITIME CORP,SITM,11/21/2019,20.34,2019Q4,20,SITMNov-19,1499031,0,1,14,
116,12/12/2019,19.25,1,SITIME CORP,SITM,11/21/2019,19.25,2019Q4,21,SITMNov-19,1499031,0,1,14,
117,12/13/2019,19.63,1,SITIME CORP,SITM,11/21/2019,19.63,2019Q4,22,SITMNov-19,1499031,0,1,14,
118,12/16/2019,21.29,1,SITIME CORP,SITM,11/21/2019,21.29,2019Q4,25,SITMNov-19,1499031,0,1,14,
119,12/17/2019,22.26,1,SITIME CORP,SITM,11/21/2019,22.26,2019Q4,26,SITMNov-19,1499031,0,1,14,
120,12/18/2019,21.52,1,SITIME CORP,SITM,11/21/2019,21.52,2019Q4,27,SITMNov-19,1499031,0,1,14,
121,12/19/2019,21.07,1,SITIME CORP,SITM,11/21/2019,21.07,2019Q4,28,SITMNov-19,1499031,0,1,14,
122,12/20/2019,21.64,1,SITIME CORP,SITM,11/21/2019,21.64,2019Q4,29,SITMNov-19,1499031,0,1,14,
123,10/8/2019,16,1,DOCEBO INC,DCBO,10/8/2019,16,2019Q4,0,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
124,10/9/2019,16.15,1,DOCEBO INC,DCBO,10/8/2019,16.15,2019Q4,1,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
125,10/10/2019,15.3,1,DOCEBO INC,DCBO,10/8/2019,15.3,2019Q4,2,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
126,10/11/2019,13.61,1,DOCEBO INC,DCBO,10/8/2019,13.61,2019Q4,3,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
127,10/15/2019,14.22,1,DOCEBO INC,DCBO,10/8/2019,14.22,2019Q4,7,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
128,10/16/2019,13.82,1,DOCEBO INC,DCBO,10/8/2019,13.82,2019Q4,8,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
129,10/17/2019,12.6,1,DOCEBO INC,DCBO,10/8/2019,12.6,2019Q4,9,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
130,10/18/2019,11.5,1,DOCEBO INC,DCBO,10/8/2019,11.5,2019Q4,10,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
131,10/21/2019,13.04,1,DOCEBO INC,DCBO,10/8/2019,13.04,2019Q4,13,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
132,10/22/2019,13.9,1,DOCEBO INC,DCBO,10/8/2019,13.9,2019Q4,14,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
133,10/23/2019,14.29,1,DOCEBO INC,DCBO,10/8/2019,14.29,2019Q4,15,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
134,10/24/2019,14,1,DOCEBO INC,DCBO,10/8/2019,14,2019Q4,16,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
135,10/25/2019,13.66,1,DOCEBO INC,DCBO,10/8/2019,13.66,2019Q4,17,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
136,10/28/2019,14.39,1,DOCEBO INC,DCBO,10/8/2019,14.39,2019Q4,20,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
137,10/29/2019,14.4,1,DOCEBO INC,DCBO,10/8/2019,14.4,2019Q4,21,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
138,10/30/2019,14.4,1,DOCEBO INC,DCBO,10/8/2019,14.4,2019Q4,22,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
139,10/31/2019,14.65,1,DOCEBO INC,DCBO,10/8/2019,14.65,2019Q4,23,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
140,11/1/2019,15,1,DOCEBO INC,DCBO,10/8/2019,15,2019Q4,24,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
141,11/4/2019,15.34,1,DOCEBO INC,DCBO,10/8/2019,15.34,2019Q4,27,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
142,11/5/2019,15.03,1,DOCEBO INC,DCBO,10/8/2019,15.03,2019Q4,28,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
143,11/6/2019,15.21,1,DOCEBO INC,DCBO,10/8/2019,15.21,2019Q4,29,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
144,11/7/2019,15.96,1,DOCEBO INC,DCBO,10/8/2019,15.96,2019Q4,30,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
145,11/8/2019,15.83,1,DOCEBO INC,DCBO,10/8/2019,15.83,2019Q4,31,DCBOOct-19,#N/A,#N/A,#N/A,#N/A,#N/A
146,9/19/2019,37.55,1,DATADOG INC,DDOG,9/19/2019,37.55,2019Q3,0,DDOGSep-19,40359483,0,1,14,
147,9/20/2019,36.15,1,DATADOG INC,DDOG,9/19/2019,36.15,2019Q3,1,DDOGSep-19,40359483,0,1,14,
148,9/23/2019,36.11,1,DATADOG INC,DDOG,9/19/2019,36.11,2019Q3,4,DDOGSep-19,40359483,0,1,14,
149,9/24/2019,34.5,1,DATADOG INC,DDOG,9/19/2019,34.5,2019Q3,5,DDOGSep-19,40359483,0,1,14,
150,9/25/2019,35.25,1,DATADOG INC,DDOG,9/19/2019,35.25,2019Q3,6,DDOGSep-19,40359483,0,1,14,
151,9/26/2019,32.44,1,DATADOG INC,DDOG,9/19/2019,32.44,2019Q3,7,DDOGSep-19,40359483,0,1,14,
152,9/27/2019,32.27,1,DATADOG INC,DDOG,9/19/2019,32.27,2019Q3,8,DDOGSep-19,40359483,0,1,14,
153,9/30/2019,33.91,1,DATADOG INC,DDOG,9/19/2019,33.91,2019Q3,11,DDOGSep-19,40359483,0,1,14,
154,10/1/2019,32.39,1,DATADOG INC,DDOG,9/19/2019,32.39,2019Q3,12,DDOGSep-19,40359483,0,1,14,
155,10/2/2019,31.1,1,DATADOG INC,DDOG,9/19/2019,31.1,2019Q3,13,DDOGSep-19,40359483,0,1,14,
156,10/3/2019,32.89,1,DATADOG INC,DDOG,9/19/2019,32.89,2019Q3,14,DDOGSep-19,40359483,0,1,14,
157,10/4/2019,34.72,1,DATADOG INC,DDOG,9/19/2019,34.72,2019Q3,15,DDOGSep-19,40359483,0,1,14,
158,10/7/2019,36.81,1,DATADOG INC,DDOG,9/19/2019,36.81,2019Q3,18,DDOGSep-19,40359483,0,1,14,
159,10/8/2019,35.45,1,DATADOG INC,DDOG,9/19/2019,35.45,2019Q3,19,DDOGSep-19,40359483,0,1,14,
160,10/9/2019,36.75,1,DATADOG INC,DDOG,9/19/2019,36.75,2019Q3,20,DDOGSep-19,40359483,0,1,14,
161,10/10/2019,35.6,1,DATADOG INC,DDOG,9/19/2019,35.6,2019Q3,21,DDOGSep-19,40359483,0,1,14,
162,10/11/2019,35.67,1,DATADOG INC,DDOG,9/19/2019,35.67,2019Q3,22,DDOGSep-19,40359483,0,1,14,
163,10/14/2019,33.09,1,DATADOG INC,DDOG,9/19/2019,33.09,2019Q3,25,DDOGSep-19,40359483,0,1,14,
164,10/15/2019,34.8,1,DATADOG INC,DDOG,9/19/2019,34.8,2019Q3,26,DDOGSep-19,40359483,0,1,14,
165,10/16/2019,32.2,1,DATADOG INC,DDOG,9/19/2019,32.2,2019Q3,27,DDOGSep-19,40359483,0,1,14,
166,10/17/2019,33.96,1,DATADOG INC,DDOG,9/19/2019,33.96,2019Q3,28,DDOGSep-19,40359483,0,1,14,
167,10/18/2019,31.57,1,DATADOG INC,DDOG,9/19/2019,31.57,2019Q3,29,DDOGSep-19,40359483,0,1,14,
168,9/19/2019,20.11,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,20.11,2019Q3,0,PINGSep-19,20044331,0,1,11,
169,9/20/2019,19.31,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,19.31,2019Q3,1,PINGSep-19,20044331,0,1,11,
170,9/23/2019,18.81,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,18.81,2019Q3,4,PINGSep-19,20044331,0,1,11,
171,9/24/2019,18.51,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,18.51,2019Q3,5,PINGSep-19,20044331,0,1,11,
172,9/25/2019,18,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,18,2019Q3,6,PINGSep-19,20044331,0,1,11,
173,9/26/2019,17.04,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,17.04,2019Q3,7,PINGSep-19,20044331,0,1,11,
174,9/27/2019,16.52,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.52,2019Q3,8,PINGSep-19,20044331,0,1,11,
175,9/30/2019,17.25,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,17.25,2019Q3,11,PINGSep-19,20044331,0,1,11,
176,10/1/2019,16.43,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.43,2019Q3,12,PINGSep-19,20044331,0,1,11,
177,10/2/2019,15.97,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,15.97,2019Q3,13,PINGSep-19,20044331,0,1,11,
178,10/3/2019,16.57,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.57,2019Q3,14,PINGSep-19,20044331,0,1,11,
179,10/4/2019,16.7,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.7,2019Q3,15,PINGSep-19,20044331,0,1,11,
180,10/7/2019,16.51,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.51,2019Q3,18,PINGSep-19,20044331,0,1,11,
181,10/8/2019,16.45,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.45,2019Q3,19,PINGSep-19,20044331,0,1,11,
182,10/9/2019,16.46,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.46,2019Q3,20,PINGSep-19,20044331,0,1,11,
183,10/10/2019,16.08,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.08,2019Q3,21,PINGSep-19,20044331,0,1,11,
184,10/11/2019,16.46,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.46,2019Q3,22,PINGSep-19,20044331,0,1,11,
185,10/14/2019,16.68,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.68,2019Q3,25,PINGSep-19,20044331,0,1,11,
186,10/15/2019,16.74,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.74,2019Q3,26,PINGSep-19,20044331,0,1,11,
187,10/16/2019,15.9,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,15.9,2019Q3,27,PINGSep-19,20044331,0,1,11,
188,10/17/2019,15.54,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,15.54,2019Q3,28,PINGSep-19,20044331,0,1,11,
189,10/18/2019,16.16,1,PING IDENTITY HOLDING CORP,PING,9/19/2019,16.16,2019Q3,29,PINGSep-19,20044331,0,1,11,
190,9/13/2019,18,1,CLOUDFLARE INC,NET,9/13/2019,18,2019Q3,0,NETSep-19,86808542,0,1,11,
191,9/16/2019,18.63,1,CLOUDFLARE INC,NET,9/13/2019,18.63,2019Q3,3,NETSep-19,86808542,0,1,11,
192,9/17/2019,18.75,1,CLOUDFLARE INC,NET,9/13/2019,18.75,2019Q3,4,NETSep-19,86808542,0,1,11,
