company,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m
ATEN,31,0,511.61290322580646,0.00912586618333423,0.00883723462507638,0.004197487545825638,0.005949512106531582,0.002847272984512405
ACIA,29,4,524.448275862069,0.0050116358283700405,0.008961802780242452,0.010550463441968257,0.0024199430136741724,0.007363392651625384
ACLLY,8,0,291.125,0.022580424782109237,0.0013502146420698456,0.0013647411475834273,0.0026922019732657306,0.0007621951219512195
ACMR,26,0,245.96153846153845,0.0014940346354318885,0.01211028190276664,0.005594100823807602,0.0008659538683786714,0.0006884380846803107
ACTV.2,38,5,358.36842105263156,0.008059197117147972,0.006078335217894797,0.009020808763976835,0.001997843727419522,0.006976428934962801
IOTS,19,0,576.5263157894736,0.0031389557085359366,0.0020583414266108213,0.0024284876286732827,0.001805557820718453,0.0002999688936292763
ARX,27,2,372.037037037037,0.0020456633414216697,0.015622976070624649,0.003348150016554877,0.002340788128930799,0.0018474337538864816
AIRG,17,0,696.1764705882352,0.005829938232038117,0.0030207818499138196,0.0059669772506227995,0.0024398538434372164,0.004175209970098173
AKTS,31,0,611.0967741935484,0.007783148222339297,0.007219796514826202,0.010818113457810937,0.004780048629616714,0.0026642143688987607
ALTR,35,0,558.4285714285714,0.00844978013185474,0.008288324002143858,0.0023002779051192303,0.0026704554869561095,0.0007947025165457036
AYX,42,3,422.07142857142856,0.009214393727575425,0.005768527581883242,0.005317252194085166,0.0028206335551214773,0.0037144193062939555
AMBR,15,0,413.46666666666664,0.010583958121093284,0.0034671958644654764,0.0037003923685319396,0.0050941581311179,0.003004823601049255
PLAN,48,4,801.9583333333334,0.005443688199281681,0.01185217826686701,0.0027410209155479437,0.001967535787278025,0.0012788122874940154
ANGI.1,81,6,424.5432098765432,0.006698585704823396,0.010043077119426855,0.005409485792915411,0.003062867363118156,0.0034637172838393243
APIC,15,0,482.26666666666665,0.006410661820817415,0.008387688739612069,0.010723486899843026,0.0023638031770276792,0.009150436464489696
APPF,21,0,320.8095238095238,0.004061174320478058,0.0028221493986076594,0.0008365318466717518,0.004470550646070715,0.00026994924954108627
APPN,49,1,423.1224489795918,0.005592661061993375,0.010276436723617634,0.01054200622214409,0.0032446478970273272,0.008925100574637308
AAOI,16,0,994.0625,0.0034041374992729925,0.003195956465138417,0.004202927333044277,0.0032359816788531137,0.0021720103335454008
APTI,43,1,496.30232558139534,0.008856678006379314,0.004924608073103501,0.004411630456440732,0.0034875308957469176,0.0024536051864935578
AQ,33,0,508.6363636363636,0.0031733363815360004,0.008122470150376686,0.0012345485693317794,0.0013574323521531836,0.000593531455173495
ANET,26,1,458.38461538461536,0.008625258153242263,0.005159026331816265,0.0033712991254771863,0.0018591209155270306,0.002579767509426496
ARLO,38,0,341.44736842105266,0.005843772587019409,0.00665281750894255,0.00291337706650348,0.0015912663914662165,0.001024888473851886
TEAM,24,3,532.0,0.005795367696783941,0.008840549667979187,0.0043246341472124835,0.0021261968809931087,0.003518336318600419
ATOM,8,0,163.875,0.0019128417311385952,0.0015212981744421906,0.0030885943025363944,0.0005387931034482759,0.0005070993914807302
ADNC,29,1,318.17241379310343,0.010514345180155467,0.004246471161647783,0.01113037251813107,0.002102957974450834,0.010003538962927397
AVLR,36,1,618.2777777777778,0.003696172331133961,0.008040488600001441,0.0014667261429717672,0.0006972559423239044,0.000869596326145354
AVGTF,7,1,459.57142857142856,0.0024876343529329054,0.005285423434528052,0.0015751712425712474,0.004591738320021335,0.0013358795459931187
AIOCF,25,0,496.72,0.005687188735369857,0.010399737139595315,0.007774698750969858,0.006578997609001453,0.002400809007113729
CUDA,25,0,615.36,0.005926192107118037,0.005932072466635011,0.005029970746950232,0.002017202943581055,0.003550268498493912
BV.1,33,2,344.030303030303,0.010794326594903461,0.007124995971954671,0.004598621545025924,0.002377091493949636,0.00268190380030314
BNFT,54,3,547.2222222222222,0.010564561271970028,0.00492055655500257,0.006814969165378428,0.0024412382876484815,0.003415142571807538
BILL,17,3,718.7647058823529,0.008300183954460817,0.010416480371970595,0.00398063462349939,0.002408619626618337,0.0027587325412143926
BL,37,3,349.4594594594595,0.00800653602650888,0.004826895398245703,0.0034793434369136864,0.0033269233137597485,0.002053127628300048
SQ,25,0,1695.96,0.005457847299446273,0.01390587155076144,0.004426741333283466,0.002261175025458629,0.0022615318109547844
BRDR,24,0,440.4166666666667,0.006664407024147689,0.005070411160198865,0.0028743866569509564,0.0024858717686436107,0.0008364942576457382
BOX,100,2,1103.07,0.011177360879988114,0.011237450555078559,0.005073890517124606,0.002031612039981382,0.0026041632016132583
BOXL,18,0,73.66666666666667,0.0009337981706402758,0.02845254161043635,0.018668466036887085,0.0,0.000149947518368571
BCOV,35,0,344.48571428571427,0.00740053199887686,0.005203796592910619,0.005544043197191176,0.0014530632005892964,0.004080180993776149
BSFT.1,42,4,398.2857142857143,0.006498988798195369,0.011566475312549809,0.007703235483674172,0.0029900100256504236,0.002821924338706816
CALX,27,0,400.3333333333333,0.008906746678692429,0.0047083715091986895,0.009132418352338127,0.0036264990585299158,0.007303128669274858
CMBM,16,0,648.0625,0.0028397910663961246,0.016837744636653024,0.0008828659968573674,0.0027216501112839074,0.0005271751437139542
CAN,15,0,335.93333333333334,0.006107433796927165,0.011363314439455699,0.008133303413664349,0.0011372013207821897,0.001437688466912696
CBLK,42,3,368.14285714285717,0.006535017653298253,0.011748914668408652,0.018786374712621994,0.0014783615930372158,0.017191861500973325
CARB.2,74,3,358.7972972972973,0.005128081272853676,0.009174366045626738,0.0051635663375656235,0.002153354784118898,0.0022779870463622526
CASA,19,0,496.3157894736842,0.002179146207754711,0.007578184622897397,0.0013458366782217583,0.0007987683524739995,0.0007814911739556047
CDAY,83,0,488.6144578313253,0.0061987039052480665,0.00779526376318202,0.006495702930570352,0.0017926898174011464,0.004921473758071974
ECOM,11,0,410.0,0.002898270726828313,0.0024297420632364195,0.015545332475283976,0.003548719802236264,0.01522832130843457
CLDR,57,6,518.0350877192982,0.011413484191705991,0.006298377811283588,0.0048787460514909215,0.0023963577672907227,0.0036540764159042043
NET,44,4,639.5227272727273,0.005003275765904919,0.008748531416341597,0.0028364139963438163,0.004216618908998048,0.0014251113439114594
CLPS,15,0,124.4,0.0018897768897768897,0.014791597291597293,0.031135874240508715,0.0005398110661268556,0.031135874240508715
CDRBQ,9,0,352.3333333333333,0.00579645753811705,0.00011960291831120678,0.012144967640252882,0.0012255931166589601,0.008214856742507222
CTRL,20,0,718.3,0.018359656715077187,0.005065066221367625,0.0041075631869541464,0.001829284133124531,0.002856182437536453
CNVO,34,4,862.0882352941177,0.007779195875563316,0.0072403909079082705,0.008236108908977774,0.0035442998340549786,0.0052455701390673
CTKYY,5,0,203.4,0.006984770887209913,0.0055618094642484895,0.0006837606837606838,0.0,0.0006837606837606838
CSOD,24,5,349.4166666666667,0.007036832073199939,0.00751202897246554,0.0031799279546031443,0.0027952525411084027,0.0017017941046898102
COUP,31,5,445.8709677419355,0.009541018472573898,0.008043597149880746,0.004148332194918618,0.0018714992649996186,0.0027345724434660475
COVS,15,1,592.4,0.009076337750140813,0.006430951064377191,0.0052780923590745685,0.0037346524945528112,0.0026527827266246916
PMTS,50,0,428.68,0.004122234608782712,0.010885587089471451,0.003589063903166356,0.0027157020821464563,0.0011084351532210423
CRWD,87,21,628.0919540229885,0.008859192134428484,0.008589153377443424,0.005516013310452909,0.0029002486266966466,0.003513582472169569
CVT.,20,1,405.1,0.006314971561835453,0.0036891731798862426,0.0011903289820439232,0.003166166283396754,0.0006791712906112543
CYNI,26,0,233.84615384615384,0.0030258035765620547,0.0024543961756280878,0.013395157939584828,0.00158358974537617,0.012771249189008413
CYBR,27,0,518.8148148148148,0.006141351673382762,0.007192549579157683,0.0034117391458254134,0.0028138220496986637,0.00242729131395651
DQ,21,1,213.71428571428572,0.007602307560922081,0.009792864676247268,0.005474759852151569,0.00301066278095701,0.004192676790050528
DDOG,45,4,630.6,0.007557854944182187,0.009886084020643584,0.005458155115607485,0.0025255697554135057,0.003478467859167152
DWRE,32,0,367.90625,0.010595432911734447,0.004108841890080299,0.0030794237468688623,0.0014266749677054645,0.0019528379942221582
DCBO,32,0,816.25,0.008829346171064626,0.014847650577745817,0.004806127044618034,0.0035209671236567878,0.0013459464619837713
DOCU,57,6,615.5438596491229,0.0060920010230414625,0.009508575041597613,0.006955692501176004,0.0015898890607597023,0.005975375379466088
DOMO,30,6,370.8333333333333,0.006730754571641018,0.015020902779981351,0.003713531538834389,0.0013870775584597036,0.0014289620129553655
DT,35,2,715.7142857142857,0.0032333952046205805,0.007124956957427228,0.001820632928533463,0.0011535948635010634,0.0014433896624274946
EOPN,26,1,355.2692307692308,0.01910626251410522,0.008295578632973062,0.004189769663062151,0.0006888951209758342,0.002501098409076535
ESTC,9,1,636.7777777777778,0.005430533215954868,0.01534418740169481,0.0038526040952939055,0.0007410306455325888,0.0036055745166408723
ELLI,23,1,663.6521739130435,0.0032119488730602943,0.020123939061307806,0.008329633606790317,0.0045450630584185055,0.006328818341286201
ELOQ,19,1,266.05263157894734,0.012420994119826615,0.005872767834013659,0.0051135003350148344,0.001219883553581609,0.001598422635495742
ENPH,21,1,380.8095238095238,0.008351953988049684,0.005730890670310777,0.006988642049437973,0.0030543593414221596,0.003591270838350243
ENV,34,2,264.79411764705884,0.0029202040187821187,0.0043012381506984535,0.0026682008173047156,0.0023351886112738607,0.0007696495519213565
ENVI.2,21,1,310.76190476190476,0.014077546676581057,0.010302355916375886,0.0047419116577202,0.0007255316053101398,0.0032217076774216117
EPAM,14,1,267.85714285714283,0.003938249492268502,0.006253022135670636,0.0026864746454995057,0.002597128213611227,0.001783182353373806
EVBG,33,3,535.7878787878788,0.007522678000549087,0.007742697565583027,0.003945163877391975,0.001986171066628744,0.0028289808034482416
MRAM,21,1,339.04761904761904,0.0019063338569449393,0.0051673219939329185,0.005106754900593714,0.001630954679655669,0.001741083870403532
EVTC,49,0,737.3469387755102,0.008612516917882965,0.004328096166298156,0.006195562643885768,0.006384171801933089,0.0039038917494350726
EVOP,34,0,411.8529411764706,0.004975718583880741,0.008450755505595976,0.018244037942763056,0.0023144239691080325,0.016254293203031702
EXA,37,4,354.81081081081084,0.009040750271381638,0.011374368023078769,0.003568644004629537,0.002122965279560214,0.0025151676932807384
ET.4,27,2,318.25925925925924,0.004785665064896614,0.0185413297024616,0.0034680506107171998,0.0003297451364220228,0.002823342009722696
FN,34,2,423.7647058823529,0.001782374412305171,0.0337788992377618,0.0038484068098457056,0.00239175616907274,0.002999217061884875
FSLY,29,0,376.6551724137931,0.0055355994061696764,0.007939458171281215,0.018074626540444397,0.0010970452525437635,0.017068697331741482
FIT,100,0,623.56,0.01137728878753798,0.009370201354831785,0.007187312223864531,0.0034082488306452995,0.004374756521012336
FIVN,33,2,606.7878787878788,0.007284962851448655,0.00805880993322794,0.005924251868277375,0.0019822657429147995,0.004566641821200525
FLT,25,4,302.8,0.0038214336648166817,0.0045844038059980755,0.002797577174678821,0.0016335669341815543,0.0023084111310055794
FLTX,19,3,397.1578947368421,0.016469900469786376,0.009323556049773103,0.005403180483290256,0.002020253799949833,0.003923583021820551
FFNTQ,40,5,520.2,0.006230318242759581,0.006819609899656962,0.00786721690857258,0.0035235219493938894,0.005744238623181746
FIO,43,4,310.09302325581393,0.009416307446457007,0.015717370426076724,0.003935138300530244,0.0014832459106682418,0.0026449457147206664
GDS,8,0,344.0,0.010700213868447795,0.003447504994344943,0.006328231469418213,0.0059357329946201996,0.0009999657023703075
GIMO,28,1,384.10714285714283,0.0036475229850230174,0.0041378530471964025,0.0035548310212868564,0.004477850895582389,0.00233190952512207
GLOB,4,0,683.5,0.01574374372899493,0.01506427951731209,0.0029018044254001474,0.0013089005235602095,0.00217295582309938
GDDY,103,8,559.252427184466,0.00834295427786078,0.008632570674211582,0.0049101212244433345,0.0032720144211577096,0.0036880790477936977
GSKY,48,0,614.9375,0.007492506123655915,0.008427463507732018,0.01547704944086988,0.0014171850534107015,0.01390543598467607
GSUM,5,0,189.0,0.01291224336307436,0.0037230077437728137,0.005825471490072177,0.0039878022310614785,0.0019939011155307392
GTYH,15,0,326.26666666666665,0.0020374465575703966,0.004843559893247751,0.006487026607765489,0.003434265026228202,0.0050855535372871605
GWRE,36,0,377.69444444444446,0.011828888073537639,0.017991677618500974,0.0030132758451613803,0.0024573380119380837,0.001944902049862319
ONE.2,30,6,310.1666666666667,0.006471005194232023,0.012680417911151869,0.00689528731257016,0.005317275010002065,0.0032544120698584514
